movie_title,release_date,genre,metascore
Sister Helen,24-Oct-03,Documentary,64
West of Sunshine,18-Jan-19,"Drama,Crime",64
Tip Top,12-Dec-14,"Thriller,Comedy",64
Last Call at the Oasis,04-May-12,Documentary,64
Low Tide,04-Oct-19,"Drama,Thriller",64
Persons of Interest,03-Sep-04,Documentary,63
Hannah,23-Feb-18,Drama,63
Klitschko,21-Oct-11,"Biography,Sport,Documentary",63
Little Jerusalem,27-Jan-06,Drama,63
Seoul Searching,17-Jun-16,"Drama,Comedy,Romance",63
Night Shift,30-Jul-82,Comedy,62
Dreams of a Life,03-Aug-12,"Drama,Documentary",62
We Are the Flesh,13-Jan-17,"Drama,Fantasy,Horror",62
The Last Mountain,03-Jun-11,Documentary,62
Girls Rock!,07-Mar-08,"Music,Documentary",62
Princesa,07-Dec-01,"Drama,Romance",62
Farmageddon,08-Jul-11,"Documentary,News",62
Before You Know It,30-Aug-19,"Drama,Comedy",61
The Quest of Alain Ducasse,08-Jun-18,Documentary,61
The Backyard,29-Aug-03,Documentary,61
Bicycling With Molière,23-Apr-14,"Drama,Comedy",61
Resurrect Dead: The Mystery of the Toynbee Tiles,02-Sep-11,Documentary,60
Mrs. Hyde,27-Apr-18,Drama,60
The Outrageous Sophie Tucker,24-Jul-15,Documentary,59
Mr. Holland's Opus,19-Jan-96,"Drama,Music",59
Love! Valour! Compassion!,16-May-97,"Drama,Comedy,Romance",59
A Land Imagined,12-Apr-19,Mystery,59
24 Days,24-Apr-15,"Drama,Thriller",59
Where Soldiers Come From,09-Sep-11,Documentary,58
Bottom of the 9th,19-Jul-19,Drama,58
The House of Tomorrow,27-Apr-18,"Drama,Comedy",58
Go Further,08-Oct-04,Documentary,58
Free Radicals,23-Jul-04,"Drama,Romance",58
Somebody Up There Likes Me,08-Mar-13,Comedy,58
The Notebook,29-Aug-14,"Drama,War",57
The Laundromat,27-Sep-19,Drama,57
Cet amour-là,02-Apr-03,Drama,57
Three Peaks,28-Jun-19,Drama,57
Backstage,22-Nov-06,"Drama,Music",57
Saudate for the Future,20-Jun-01,"Music,Documentary",57
How to Live Forever,13-May-11,Documentary,57
Collaborator,06-Jul-12,"Drama,Comedy",56
The Misandrists,25-May-18,"Drama,Comedy",56
Rollerball,25-Jun-75,"Action,Sci-Fi,Sport",56
Claire Dolan,25-Feb-00,Drama,56
Tiger Eyes,07-Jun-13,Drama,56
Breaking Upwards,02-Apr-10,Romance,56
Diary of a Chambermaid,10-Jun-16,Drama,56
Detour,29-Mar-13,Thriller,55
Loro,20-Sep-19,"Biography,Drama",55
Breakin' 2: Electric Boogaloo,21-Dec-84,"Drama,Comedy,Musical",55
Little Pink House,20-Apr-18,Drama,55
The Girl Is in Trouble,03-Apr-15,"Thriller,Crime",55
Marie's Story,01-May-15,Biography,54
Explicit Ills,06-Mar-09,Drama,54
Honour,11-Jul-14,Thriller,53
The Heart of Me,13-Jun-03,"Drama,Romance",53
Putin's Kiss,17-Feb-12,"Drama,Documentary",52
Citizen Koch,06-Jun-14,"Drama,Documentary",52
In the Name Of,30-Oct-13,"Drama,Thriller",52
Heavy Metal,07-Aug-81,"Adventure,Sci-Fi,Fantasy,Animation",51
11 Minutes,08-Apr-16,"Drama,Thriller",51
First Descent,02-Dec-05,"Sport,Documentary",51
Moscow Never Sleeps,09-Jun-17,Drama,51
You're Killing Me Susana,17-Feb-17,"Drama,Comedy,Romance",50
Beauty Remains,19-Sep-07,Drama,49
Body,11-Dec-15,"Drama,Thriller",49
Half Magic,23-Feb-18,"Comedy,Romance",49
Stagedoor,24-May-06,Documentary,49
Crazy Wisdom: The Life & Times of Chogyam Trungpa Rinpoche,25-Nov-11,Documentary,48
My Amityville Horror,15-Mar-13,Documentary,48
The World Made Straight,09-Jan-15,Drama,48
Condo Painting,10-Mar-00,Documentary,48
Coffee Date,10-Nov-06,Comedy,47
Who Killed Bambi?,12-Nov-04,"Drama,Thriller",47
Perfect,07-Jun-85,"Drama,Romance",46
Digging Up the Marrow,20-Feb-15,"Biography,Drama,Mystery,Thriller,Fantasy,Horror",45
Fire and Ice,26-Aug-83,"Adventure,Fantasy,Animation",45
Foul Play,14-Jul-78,"Mystery,Thriller,Comedy",45
Swimming with Men,07-Dec-18,"Drama,Sport,Comedy,Romance",44
Angels in the Outfield,15-Jul-94,"Sport,Fantasy,Comedy,Family",44
Carbon Nation,11-Feb-11,"Family,Documentary",44
Steve + Sky,08-Jul-05,"Drama,Comedy,Romance",44
The Great Role,06-May-05,"Drama,Comedy,Romance",43
Crooked Arrows,01-Jun-12,"Drama,Sport",42
Mighty Fine,25-May-12,"Drama,Comedy",42
Pizza,20-Jan-06,Comedy,42
U Want Me 2 Kill Him?,14-Mar-14,"Drama,Thriller",42
The Intended,25-Jun-04,Drama,42
The Loss of Sexual Innocence,28-May-99,Drama,42
"Milwaukee, Minnesota",03-Jun-05,Drama,41
Nowhere Man,11-Mar-05,"Action,Drama,Horror,Comedy,Crime",41
An Acceptable Loss,18-Jan-19,"Drama,Thriller",40
Rodin,01-Jun-18,"Biography,Drama,Romance",39
Till Human Voices Wake Us,21-Feb-03,Drama,39
Vincent Wants to Sea,24-Jun-11,Drama,39
Confessions of a Burning Man,27-Feb-04,Documentary,37
Aardvark,13-Apr-18,Drama,37
Can't Buy Me Love,14-Aug-87,"Drama,Comedy,Romance",36
Stateside,21-May-04,"Drama,Romance",35
Isn't She Great,28-Jan-00,"Biography,Comedy,Romance",34
Losing Control,23-Mar-12,Comedy,33
My Favorite Martian,12-Feb-99,"Sci-Fi,Comedy,Family",33
The Perfect Holiday,12-Dec-07,"Comedy,Romance,Family",32
Beyond Honor,17-Mar-06,Drama,32
Least Among Saints,12-Oct-12,Drama,32
The Curse of Downers Grove,21-Aug-15,"Drama,Mystery,Thriller,Horror",31
Cost of a Soul,20-May-11,"Drama,Crime",30
Immigration Tango,18-Feb-11,Comedy,28
Maladies,21-Mar-14,Drama,28
Saturn 3,15-Feb-80,"Adventure,Sci-Fi,Thriller,Horror",9
Force of Evil,01-Mar-49,"Drama,Crime,Film-Noir",89
The General,18-Dec-98,"Biography,Drama,Thriller,Crime",81
The Hill,03-Oct-65,"Drama,War",81
The Freshman,20-Jul-90,"Comedy,Crime",78
The Iron Ministry,21-Aug-15,Documentary,76
Guerrilla: The Taking of Patty Hearst,26-Nov-04,"Biography,History,Crime,War,Documentary",75
Donbass,11-Jan-19,Drama,74
Gun Crazy,20-Jan-50,"Drama,Thriller,Romance,Crime,Film-Noir",74
The Watermelon Woman,05-Mar-97,Drama,74
